"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C5,C8,C9";"C_1206_3216Metric";3;"4.7uF";;;
2;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"4.7uF";;;
3;"J1";"PinHeader_2x05_P2.54mm_Vertical";1;"JTAG";;;
4;"R12,R11,R25,R26";"R_0805_2012Metric";4;"1K";;;
5;"R13,R3";"R_0805_2012Metric";2;"10K";;;
6;"C18,C12,C17,C16,C14,C15,C21,C19,C25,C20,C26,C24,C27,C4,C11,C28,C13";"C_0603_1608Metric";17;"0.1uF";;;
7;"H4,H3,H1,H2";"Altronics_H0190_mounting_hole";4;"MountingHole";;;
8;"U7";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
9;"U8";"SOT-223-3_TabPin2";1;"AMS1117-1.8";;;
10;"U4";"XO_7x5";1;"Oscillator7x5";;;
11;"J5";"BarrelJack_Horizontal";1;"Conn_01x02_Female";;;
12;"U9";"TQFP-100_14x14mm_P0.5mm";1;"5M80Z";;;
13;"U5";"MSOP-10_3x3mm_P0.5mm";1;"MCP795xx";;;
14;"U3";"SOT-223-3_TabPin2";1;"AZ1117-5.0";;;
15;"D6,D5";"LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm";2;"LED";;;
16;"C22,C10,C2,C7";"C_0603_1608Metric";4;"C";;;
17;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Program_enable";;;
18;"R19,R20,R24,R23,R15,R2,R21,R14,R18,R17,R1,R22";"R_0805_2012Metric";12;"220";;;
19;"Q4,Q3";"SOT-23";2;"BC847";;;
20;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"MAX3232";;;
21;"U6";"LQFP-48_7x7mm_P0.5mm";1;"STM32C031CxT";;;
22;"Y1";"Crystal_SMD_ECX_31B-2Pin_3.2x1.5mm";1;"32KHz";;;
23;"J14";"MicroSD_card_MSD-4-A";1;"MicroSD Card 0";;;
24;"D2,D1";"D_1206_3216Metric";2;"D_Schottky";;;
25;"J3";"Amphenol_SD_Card_GSD090012SEU";1;"SD Card 1";;;
26;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"74LVC245";;;
27;"J6";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
28;"C29,C30";"C_0603_1608Metric";2;"3pF";;;
29;"D3";"D_SMA";1;"D";;;
30;"J7";"PinHeader_2x05_P2.54mm_Vertical";1;"ST-LINK";;;
31;"U11";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"74LVC8T245";;;
32;"JP1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"SolderJumper_2_Open";;;
33;"J10";"IDC-Header_DB19_P2.54mm_Horizontal";1;"ST ACSI BUS";;;
34;"BT1";"712-BAT-HLD-002-SMT";1;"Battery_Cell";;;
